example_id,split,agreement_tier,dup_group
fpb:001b58795f87a589,test,75,fpb:001b58795f87a589
fpb:002ef8e7dbfaca39,train,all,fpb:002ef8e7dbfaca39
fpb:003cd5b0cdd57399,test,all,fpb:003cd5b0cdd57399
fpb:00893e157993893e,train,50,fpb:00893e157993893e
fpb:00adade24e14eb19,train,50,fpb:00adade24e14eb19
fpb:00b58a522cbc5dc8,train,75,fpb:00b58a522cbc5dc8
fpb:00c42be6b1b7059d,train,66,fpb:00c42be6b1b7059d
fpb:00c5467168c14711,test,50,fpb:00c5467168c14711
fpb:00cb9ee99b67f850,train,75,fpb:00cb9ee99b67f850
fpb:00d16154b360c37e,test,all,fpb:00d16154b360c37e
fpb:00d712fa71a8d6ec,dev,66,fpb:00d712fa71a8d6ec
fpb:00e74360c9846e77,train,all,fpb:00e74360c9846e77
fpb:00e9a05c534ef981,dev,75,fpb:00e9a05c534ef981
fpb:0113b277167ac1b7,train,all,fpb:0113b277167ac1b7
fpb:01160d98070ff39b,dev,all,fpb:01160d98070ff39b
fpb:011c731dc8a650bd,train,75,fpb:011c731dc8a650bd
fpb:0121ee51c0983e80,train,all,fpb:0121ee51c0983e80
fpb:012709c0fac5bb56,test,all,fpb:012709c0fac5bb56
fpb:012d66c1b70283b4,test,66,fpb:012d66c1b70283b4
fpb:01308aa584ea0f08,train,all,fpb:01308aa584ea0f08
fpb:01488014757bd16e,dev,all,fpb:01488014757bd16e
fpb:014cc689c278131d,test,all,fpb:014cc689c278131d
fpb:015378c585da081e,train,all,fpb:015378c585da081e
fpb:0185680e53abaeb2,train,all,fpb:0185680e53abaeb2
fpb:0192df380e3224db,test,all,fpb:0192df380e3224db
fpb:0196d070335a2b61,train,50,fpb:0196d070335a2b61
fpb:01b34e18dd8d5526,dev,66,fpb:01b34e18dd8d5526
fpb:01c06a47a8c3b5db,dev,66,fpb:01c06a47a8c3b5db
fpb:01c46867ae4264d4,train,75,fpb:01c46867ae4264d4
fpb:01ced3c81a3306f6,train,66,fpb:01ced3c81a3306f6
fpb:01d737a9295c87ed,train,75,fpb:01d737a9295c87ed
fpb:01dcde4ffda66b29,test,all,fpb:01dcde4ffda66b29
fpb:0218a0ae48610059,dev,all,fpb:0218a0ae48610059
fpb:0220f264a1768224,train,all,fpb:0220f264a1768224
fpb:023085e914461831,train,all,fpb:023085e914461831
fpb:023513542668c9fe,test,50,fpb:023513542668c9fe
fpb:023b20a869bd6d7f,dev,50,fpb:023b20a869bd6d7f
fpb:024ce67257f58e73,dev,50,fpb:024ce67257f58e73
fpb:025a9eefa50488e7,train,all,fpb:025a9eefa50488e7
fpb:02a4be5d1a93b008,train,all,fpb:02a4be5d1a93b008
fpb:02abd1b5a803c625,train,all,fpb:02abd1b5a803c625
fpb:02b1b292156bff6a,dev,all,fpb:02b1b292156bff6a
fpb:02bdc71ab09f058d,train,75,fpb:02bdc71ab09f058d
fpb:02d344a8559b694a,train,all,fpb:02d344a8559b694a
fpb:030bc6c9cf2d7ed0,train,66,fpb:030bc6c9cf2d7ed0
fpb:0310150ac01b729f,train,all,fpb:0310150ac01b729f
fpb:032008399f74b1a7,test,75,fpb:032008399f74b1a7
fpb:032e73af2f06468a,test,75,fpb:032e73af2f06468a
fpb:033dd3a4933a936e,train,all,fpb:033dd3a4933a936e
fpb:0356c98952b72d3f,train,all,fpb:0356c98952b72d3f
fpb:0360016264ff9a99,train,50,fpb:0360016264ff9a99
fpb:0368cac73ad67803,train,75,fpb:0368cac73ad67803
fpb:037c320c68386496,train,all,fpb:037c320c68386496
fpb:0381906299a33360,train,all,fpb:0381906299a33360
fpb:038d1c947d029ed0,train,75,fpb:038d1c947d029ed0
fpb:03bbdf99021762b0,test,all,fpb:03bbdf99021762b0
fpb:03be84479a01df22,test,all,fpb:03be84479a01df22
fpb:03e8fe2dc8c8bb18,train,66,fpb:03e8fe2dc8c8bb18
fpb:03e9cde197da3bc8,train,all,fpb:03e9cde197da3bc8
fpb:03edfbf1c138f810,train,75,fpb:03edfbf1c138f810
fpb:040b4f132b424c90,dev,all,fpb:040b4f132b424c90
fpb:04146a2c7c157c91,train,75,fpb:04146a2c7c157c91
fpb:0428492491c4d6ae,train,75,fpb:0428492491c4d6ae
fpb:044870926319cd12,train,all,fpb:044870926319cd12
fpb:046eead26addf590,train,all,fpb:046eead26addf590
fpb:047aef2150acb96c,train,all,fpb:047aef2150acb96c
fpb:04953abe7c0f65c9,train,all,fpb:04953abe7c0f65c9
fpb:04ac4db0854ae2d7,train,all,fpb:04ac4db0854ae2d7
fpb:04ae3c89a048e344,train,all,fpb:04ae3c89a048e344
fpb:04b786e5b561d92d,train,75,fpb:04b786e5b561d92d
fpb:04bce4e39c2d9a06,train,all,fpb:04bce4e39c2d9a06
fpb:04c0b04ed7622243,train,66,fpb:04c0b04ed7622243
fpb:04cc08211902816d,train,all,fpb:04cc08211902816d
fpb:04def3c4babedb18,train,50,fpb:04def3c4babedb18
fpb:050ff86791327698,dev,50,fpb:050ff86791327698
fpb:05170bdb2cc12199,train,75,fpb:05170bdb2cc12199
fpb:053775a6852d1830,train,66,fpb:053775a6852d1830
fpb:053b30cd6562ed9e,test,all,fpb:053b30cd6562ed9e
fpb:054b698244e4923f,train,all,fpb:054b698244e4923f
fpb:0557a11ded1db253,train,all,fpb:0557a11ded1db253
fpb:05656234cc6fd294,test,all,fpb:05656234cc6fd294
fpb:0578b85212238d37,train,all,fpb:0578b85212238d37
fpb:0585cec9320c3455,dev,50,fpb:0585cec9320c3455
fpb:058c37e563aa1c11,train,75,fpb:058c37e563aa1c11
fpb:058f913b477d0d5d,test,all,fpb:058f913b477d0d5d
fpb:0590c0b72a9814bb,test,all,fpb:0590c0b72a9814bb
fpb:0592e8aa479a5f37,train,all,fpb:0592e8aa479a5f37
fpb:05bf0a61a4b9f817,train,all,fpb:05bf0a61a4b9f817
fpb:05c0cbe9d6299fca,train,50,fpb:05c0cbe9d6299fca
